event_date,event_name,event_category,event_description,expected_market_channel,source_organization
1990-08-02,Iraq invades Kuwait,Geopolitical conflict,Iraq invaded Kuwait and disrupted oil production and exports from both countries,Negative supply shock and upward price pressure,U.S. Energy Information Administration
1991-01-17,Operation Desert Storm begins,Geopolitical conflict,Coalition military operations began during the Gulf War,Supply uncertainty and elevated geopolitical risk,U.S. Energy Information Administration
1997-07-02,Asian financial crisis begins,Economic shock,Thailand abandoned its fixed exchange rate and the regional financial crisis intensified,Reduced regional economic activity and oil demand,International Monetary Fund
2001-09-11,September 11 attacks,Geopolitical shock,Terrorist attacks in the United States created global economic and travel uncertainty,Lower aviation demand and increased uncertainty,U.S. Energy Information Administration
2003-03-20,Iraq War begins,Geopolitical conflict,Military operations began in Iraq,Supply disruption fears and geopolitical risk,U.S. Energy Information Administration
2005-08-29,Hurricane Katrina reaches US Gulf Coast,Natural disaster,Hurricane Katrina disrupted Gulf Coast oil production refining and transportation,Temporary production and refining disruption,U.S. Energy Information Administration
2008-09-15,Lehman Brothers bankruptcy,Economic shock,Lehman Brothers filed for bankruptcy during the global financial crisis,Global recession fears and sharp demand reduction,Federal Reserve History
2011-02-15,Libyan civil unrest intensifies,Geopolitical conflict,Civil unrest and armed conflict disrupted Libyan crude oil production,Negative supply shock and upward price pressure,U.S. Energy Information Administration
2012-07-01,European Union oil embargo on Iran takes effect,Economic sanctions,The European Union implemented restrictions on Iranian oil imports,Reduced availability of Iranian crude oil,Council of the European Union
2014-11-27,OPEC maintains production target,OPEC decision,OPEC retained its production target despite increasing global supply,Continued oversupply and downward price pressure,Organization of the Petroleum Exporting Countries
2016-11-30,OPEC Vienna production agreement,OPEC decision,OPEC members agreed to reduce production by approximately 1.2 million barrels per day,Reduced supply and upward price support,Organization of the Petroleum Exporting Countries
2018-05-08,United States announces withdrawal from Iran nuclear agreement,Economic sanctions,The United States announced its withdrawal and the reimposition of sanctions on Iran,Expected reduction in Iranian oil exports,White House
2019-09-14,Abqaiq and Khurais oil facility attacks,Geopolitical conflict,Drone and missile attacks temporarily disrupted major Saudi oil facilities,Immediate supply disruption and price spike,U.S. Energy Information Administration
2020-03-11,WHO characterizes COVID-19 as a pandemic,Global health and economic shock,Global restrictions and reduced mobility caused an unprecedented fall in petroleum demand,Demand collapse and downward price pressure,World Health Organization
2020-04-12,OPEC Plus agrees historic production reduction,OPEC decision,OPEC and partner countries agreed to a major coordinated production adjustment,Reduced supply intended to stabilize prices,Organization of the Petroleum Exporting Countries
2021-11-23,Coordinated strategic petroleum reserve release,Policy decision,Major consuming countries announced coordinated releases from strategic oil reserves,Temporary additional supply and downward pressure,The White House
2022-02-24,Russia launches full-scale invasion of Ukraine,Geopolitical conflict,The invasion increased uncertainty over Russian energy exports and future sanctions,Supply risk and upward price pressure,U.S. Energy Information Administration